index,adc
236,2324
237,2315
238,2294
239,2289
240,2299
241,2269
242,2271
243,2272
244,2263
245,2265
246,2257
247,2259
248,2258
249,2246
250,2251
251,2239
252,2229
253,2246
254,2226
255,2220
256,2220
257,2224
258,2216
259,2209
260,2215
261,2197
262,2186
263,2177
264,2185
265,2161
266,2165
267,2147
268,2134
269,2135
270,2114
271,2118
272,2119
273,2097
274,2105
275,2086
276,2095
277,2097
278,2097
279,2079
280,2079
281,2097
282,2094
283,2079
284,2081
285,2083
286,2092
287,2099
288,2106
289,2103
290,2086
291,2091
292,2090
293,2087
294,2091
295,2085
296,2079
297,2071
298,2051
299,2066
300,2052
301,2051
302,2053
303,2036
304,2040
305,2037
306,2034
307,2034
308,2032
309,2031
310,2039
311,2051
312,2034
313,2056
314,2058
315,2043
316,2046
317,2064
318,2053
319,2075
320,2078
321,2076
322,2063
323,2068
324,2069
325,2054
326,2061
327,2063
328,2046
329,2042
330,2040
331,2037
332,2048
333,2044
334,2041
335,2040
336,2020
337,2033
338,2028
339,2040
340,2038
341,2025
342,2034
343,2039
344,2051
345,2035
346,2038
347,2055
348,2066
349,2062
350,2054
351,2054
352,2055
353,2059
354,2072
355,2057
356,2068
357,2051
358,2055
359,2055
360,2059
361,2050
362,2035
363,2029
364,2036
365,2035
366,2034
367,2036
368,2031
369,2036
370,2020
371,2022
372,2024
373,2033
374,2042
375,2040
376,2032
377,2057
378,2055
379,2044
380,2051
381,2066
382,2076
383,2063
384,2061
385,2059
386,2065
387,2073
388,2058
389,2070
390,2050
391,2042
392,2057
393,2042
394,2050
395,2048
396,2046
397,2022
398,2033
399,2034
400,2035
401,2031
402,2030
403,2031
404,2043
405,2040
406,2042
407,2038
408,2052
409,2040
410,2050
411,2067
412,2051
413,2061
414,2060
415,2071
416,2070
417,2070
418,2068
419,2064
420,2058
421,2060
422,2061
423,2059
424,2042
425,2035
426,2047
427,2037
428,2036
429,2025
430,2039
431,2039
432,2028
433,2027
434,2021
435,2024
436,2032
437,2029
438,2051
439,2056
440,2044
441,2040
442,2058
443,2060
444,2059
445,2064
446,2054
447,2072
448,2055
449,2068
450,2071
451,2075
452,2068
453,2055
454,2060
455,2051
456,2050
457,2047
458,2030
459,2028
460,2031
461,2034
462,2035
463,2028
464,2036
465,2041
466,2033
467,2038
468,2034
469,2045
470,2033
471,2043
472,2057
473,2058
474,2046
475,2069
476,2067
477,2078
478,2056
479,2056
480,2069
481,2057
482,2076
483,2050
484,2061
485,2058
486,2043
487,2051
488,2045
489,2037
490,2027
491,2025
492,2022
493,2030
494,2020
495,2018
496,2040
497,2037
498,2023
499,2034
500,2047
501,2034
502,2052
503,2044
504,2064
505,2049
506,2066
507,2070
508,2072
509,2059
510,2070
511,2071
512,2069
513,2063
514,2066
515,2057
516,2057
517,2051
518,2056
519,2055
520,2035
521,2040
522,2033
523,2033
524,2027
525,2025
526,2021
527,2028
528,2032
529,2033
530,2045
531,2033
532,2028
533,2039
534,2036
535,2063
536,2060
537,2065
538,2072
539,2063
540,2062
541,2067
542,2060
543,2058
544,2054
545,2075
546,2057
547,2069
548,2057
549,2047
550,2039
551,2048
552,2030
553,2035
554,2024
555,2026
556,2023
557,2018
558,2016
559,2018
560,2033
561,2026
562,2027
563,2029
564,2037
565,2043
566,2054
567,2060
568,2048
569,2070
570,2055
571,2058
572,2064
573,2070
574,2079
575,2062
576,2058
577,2065
578,2054
579,2050
580,2063
581,2058
582,2049
583,2034
584,2035
585,2024
586,2040
587,2034
588,2022
589,2019
590,2019
591,2037
592,2037
593,2041
594,2038
595,2043
596,2046
597,2059
598,2056
599,2066
